symbol,name,country,sector,industry,wikipediaTitle
ADTH,AdTheorent Holding Company,United States,Consumer Discretionary,Advertising,
ADTN,ADTRAN Holdings,United States,Utilities,Telecommunications Equipment,Adtran
ADTX,Aditxt,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ADUS,Addus HomeCare Corporation,United States,Health Care,Medical/Nursing Services,
ADV,Advantage Solutions,United States,Consumer Discretionary,Business Services,
ADVM,Adverum Biotechnologies,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Adverum Biotechnologies
AE,Adams Resources & Energy,United States,Energy,Oil Refining/Marketing,Adams Resources & Energy
AEAE,AltEnergy Acquisition Corp.,United States,Finance,Blank Checks,
AEE,Ameren Corporation,United States,Utilities,Power Generation,Ameren
AEF,abrdn Emerging Markets Equityome Fund,United States,Finance,Finance/Investors Services,
AEG,AEGON N.V.,Netherlands,Finance,Life Insurance,Aegon
AEHR,Aehr Test Systems,United States,Industrials,Electrical Products,
AEIS,Advanced Energy Industries,United States,Technology,Industrial Machinery/Components,Advanced Energy
AEL,American Equity Investment Life Holding Company,United States,Finance,Life Insurance,
AEM,Agnico Eagle Mines Limited,Canada,Basic Materials,Precious Metals,Agnico Eagle
AEMD,Aethlon Medical,United States,Health Care,Medical/Dental Instruments,
AENT,Alliance Entertainment Holding Corporation,United States,Consumer Discretionary,Durable Goods,
AEO,American Eagle Outfitters,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,American Eagle Outfitters
AEP,American Electric Power Company,United States,Utilities,Electric Utilities: Central,
AES,The AES Corporation,United States,Utilities,Electric Utilities: Central,AES Corporation
AESI,Atlas Energy Solutions,,Industrials,Metal Fabrications,
AEVA,Aeva Technologies,,Consumer Discretionary,Auto Parts:O.E.M.,
AEY,ADDvantage Technologies Group,United States,Industrials,Office Equipment/Supplies/Services,
AEYE,AudioEye,United States,Technology,Computer Software: Prepackaged Software,
AEZS,Aeterna Zentaris,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,
AFCG,AFC Gamma,United States,Real Estate,Real Estate Investment Trusts,
AFG,American Financial Group,United States,Finance,Property-Casualty Insurers,American Financial Group
AFIB,Acutus Medical,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
AFL,AFLACorporated,United States,Finance,Accident &Health Insurance,Aflac
AFRM,Affirm Holdings,United States,Consumer Discretionary,Business Services,Affirm Holdings
AFT,Apollo Senior Floating Rate Fund,,Finance,Investment Managers,
AGAE,Allied Gaming & Entertainment,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,
AGCO,AGCO Corporation,United States,Industrials,Industrial Machinery/Components,AGCO
AGE,AgeX Therapeutics,,Health Care,Biotechnology: Pharmaceutical Preparations,AgeX Therapeutics
AGEN,Agenus,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Agenus
AGFY,Agrify Corporation,United States,Consumer Discretionary,Military/Government/Technical,
AGIL,AgileThought,United States,Technology,EDP Services,
AGIO,Agios Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Agios Pharmaceuticals
AGL,agilon health inc.,United States,Health Care,Managed Health Care,
AGLE,Aeglea BioTherapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
AGM,Federal Agricultural Mortgage Corporation,United States,Finance,Finance Companies,Federal Agricultural Mortgage Corporation
AGNC,AGNC Investment Corp.,United States,Real Estate,Real Estate Investment Trusts,
AGO,Assured Guaranty Ltd.,Bermuda,Finance,Property-Casualty Insurers,
AGR,Avangrid,United States,Utilities,Electric Utilities: Central,Avangrid
AGRX,Agile Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
AGS,PlayAGS,United States,Consumer Discretionary,Miscellaneous manufacturing industries,
AGTI,Agiliti,United States,Health Care,Managed Health Care,
AGX,Argan,United States,Consumer Discretionary,Engineering & Construction,Argan oil
AHCO,AdaptHealth Corp.,United States,Health Care,Medical/Nursing Services,
AHH,Armada Hoffler Properties,United States,Finance,Real Estate,
AHT,Ashford Hospitality Trust,United States,Real Estate,Real Estate Investment Trusts,
AI,C3.ai,United States,Technology,Computer Software: Prepackaged Software,C3.ai
AIF,Apollo Tacticalome Fund,,Finance,Finance Companies,
AIG,American International Group New,United States,Finance,Life Insurance,
AIHS,Senmiao Technology Limited,China,Finance,Finance: Consumer Services,
AIM,AIM ImmunoTech,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AIM ImmunoTech
AIMD,Ainos,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
AIN,Albany International Corporation,United States,Consumer Discretionary,Textiles,Albany International
AINC,Ashford (Holding Company),United States,Consumer Discretionary,Professional Services,
AIP,Arteris,United States,Technology,Semiconductors,Arteris
AIR,AAR Corp.,United States,Industrials,Aerospace,AAR Corp
AIRC,Apartmentome REIT Corp.,United States,Real Estate,Real Estate Investment Trusts,
AIRG,Airgain,United States,Technology,Radio And Television Broadcasting And Communications Equipment,
AIRI,Air Industries Group,United States,Industrials,Military/Government/Technical,
AIRS,AirSculpt Technologies,United States,Health Care,Medical/Nursing Services,
AIRT,Air T,United States,Consumer Discretionary,Air Freight/Delivery Services,
AIT,Applied Industrial Technologies,United States,Consumer Discretionary,Industrial Specialties,Applied Industrial Technologies
AIV,Apartment Investment and Management Company,United States,Real Estate,Real Estate Investment Trusts,Aimco
AIZ,Assurant,United States,Finance,Specialty Insurers,Assurant
AJG,Arthur J. Gallagher & Co.,United States,Finance,Specialty Insurers,Arthur J. Gallagher & Co.
AJRD,Aerojet Rocketdyne Holdings,United States,Industrials,Military/Government/Technical,Aerojet Rocketdyne Holdings
AJX,Great Ajax Corp.,United States,Real Estate,Real Estate Investment Trusts,
AKA,a.k.a. Brands Holding Corp.,,Consumer Discretionary,Catalog/Specialty Distribution,
AKAM,Akamai Technologies,United States,Consumer Discretionary,Business Services,Akamai Technologies
AKBA,Akebia Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
AKLI,Akili,United States,Technology,Computer Software: Prepackaged Software,
AKR,Acadia Realty Trust,United States,Real Estate,Real Estate Investment Trusts,
AKRO,Akero Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
AKTS,Akoustis Technologies,United States,Utilities,Telecommunications Equipment,
AKYA,Akoya BioSciences,United States,Industrials,Medical Specialities,
AL,Air Lease Corporation,United States,Consumer Discretionary,Diversified Commercial Services,Air Lease Corporation
ALB,Albemarle Corporation,United States,Industrials,Major Chemicals,Albemarle Corporation
ALBT,Avalon GloboCare Corp.,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ALCC,AltC Acquisition Corp.,,Finance,Blank Checks,
ALCO,Alico,United States,,,Alico
ALDX,Aldeyra Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ALEC,Alector,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ALG,Alamo Group,United States,Industrials,Industrial Machinery/Components,
ALGM,Allegro MicroSystems,United States,Technology,Semiconductors,
ALGN,Align Technology,United States,Health Care,Industrial Specialties,Align Technology
ALGS,Aligos Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ALGT,Allegiant Travel Company,United States,Consumer Discretionary,Air Freight/Delivery Services,Allegiant Travel Company
ALHC,Alignment Healthcare,United States,Health Care,Medical Specialities,
ALIM,Alimera Sciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Alimera Sciences
ALIT,Alight,United States,Consumer Discretionary,Business Services,
ALK,Alaska Air Group,United States,Consumer Discretionary,Air Freight/Delivery Services,Alaska Air Group
ALKT,Alkami Technology,United States,Technology,EDP Services,
ALL,Allstate Corporation (The),United States,Finance,Property-Casualty Insurers,Allstate
ALLK,Allakos,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ALLO,Allogene Therapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ALLR,Allarity Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ALLY,Ally Financial,United States,Finance,Major Banks,Ally Financial
ALNY,Alnylam Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Alnylam Pharmaceuticals
ALOT,AstroNova,United States,Technology,Computer peripheral equipment,
ALPA,Alpha Healthcare Acquisition Corp. III,United States,Health Care,Medical/Dental Instruments,
ALPN,Alpine Immune Sciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ALPP,Alpine 4 Holdings,United States,Telecommunications,Telecommunications Equipment,
ALRM,Alarm.com Holdings,United States,Technology,Computer Software: Prepackaged Software,Alarm.com
ALRN,Aileron Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ALRS,Alerus Financial Corporation,United States,Finance,Major Banks,Alerus Financial
ALSN,Allison Transmission Holdings,United States,Consumer Discretionary,Auto Parts:O.E.M.,Allison Transmission
ALT,Altimmune,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ALTG,Alta Equipment Group,United States,Industrials,Industrial Machinery/Components,
ALTI,AlTi Global,United States,Finance,Investment Managers,
ALTO,Alto Ingredients,United States,Industrials,Major Chemicals,
ALTR,Altair Engineering,United States,Technology,Computer Software: Prepackaged Software,Altair Engineering
ALTU,Altitude Acquisition Corp.,United States,Finance,Blank Checks,
ALV,Autoliv,Sweden,Consumer Discretionary,Auto Parts:O.E.M.,Autoliv
ALVR,AlloVir,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ALX,Alexander's,United States,Real Estate,Real Estate Investment Trusts,Alexander's
ALXO,ALX Oncology Holdings,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ALZN,Alzamend Neuro,United States,Health Care, Medicinal Chemicals and Botanical Products ,
AM,Antero Midstream Corporation,United States,Utilities,Natural Gas Distribution,
AMAO,American Acquisition Opportunity,United States,Miscellaneous,Multi-Sector Companies,
AMAT,Applied Materials,United States,Technology,Semiconductors,Applied Materials
AMBC,Ambac Financial Group,United States,Finance,Property-Casualty Insurers,MGIC Investment Corporation
AMC,AMC Entertainment Holdings,,Consumer Discretionary,Movies/Entertainment,AMC Theatres
AMCX,AMC Networks,United States,Telecommunications,Cable & Other Pay Television Services,AMC Networks
AMD,Advanced Micro Devices,United States,Technology,Semiconductors,AMD
AMED,Amedisys,United States,Health Care,Medical/Nursing Services,Amedisys
AMEH,Apollo Medical Holdings,United States,Consumer Discretionary,Professional Services,
AMG,Affiliated Managers Group,United States,Finance,Investment Managers,Affiliated Managers Group
AMGN,Amgen,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Amgen
AMK,AssetMark Financial Holdings,United States,Finance,Finance/Investors Services,
AMKR,Amkor Technology,United States,Technology,Semiconductors,Amkor Technology
AMLI,American Lithium Corp.,Canada,Basic Materials,Metal Mining,
AMLX,Amylyx Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Amylyx Pharmaceuticals
AMNB,American National Bankshares,United States,Finance,Major Banks,
AMP,Ameriprise Financial,United States,Finance,Investment Managers,Ameriprise Financial
AMPG,Amplitech Group,United States,Telecommunications,Telecommunications Equipment,
AMPH,Amphastar Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Amphastar Pharmaceuticals
AMPL,Amplitude,United States,Technology,EDP Services,Amplitude
AMPS,Altus Power,,Utilities,Electric Utilities: Central,
AMPX,Amprius Technologies,United States,Miscellaneous,Industrial Machinery/Components,
AMPY,Amplify Energy Corp.,United States,Energy,Oil & Gas Production,Amplify Energy
AMR,Alpha Metallurgical Resources,United States,Energy,Coal Mining,Alpha Metallurgical Resources
AMRC,Ameresco,United States,Consumer Discretionary,Engineering & Construction,
AMRK,A-Mark Precious Metals,United States,Industrials,Other Specialty Stores,A-Mark Precious Metals
AMRS,Amyris,United States,Industrials,Major Chemicals,Amyris
AMRX,Amneal Pharmaceuticals,,Health Care,Biotechnology: Pharmaceutical Preparations,Amneal Pharmaceuticals
AMS,American Shared Hospital Services,United States,Health Care,Medical Specialities,
AMSC,American Superconductor Corporation,United States,Industrials,Office Equipment/Supplies/Services,American Superconductor
AMSF,AMERISAFE,United States,Finance,Property-Casualty Insurers,
AMST,Amesite,United States,Technology,Computer Software: Prepackaged Software,
AMSWA,American Software,United States,Technology,Computer Software: Prepackaged Software,
AMT,American Tower Corporation (REIT),United States,Real Estate,Real Estate Investment Trusts,
AMTB,Amerant Bancorp,United States,Finance,Major Banks,
AMTI,Applied Molecular Transport,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
AMTX,Aemetis (DE),United States,Industrials,Major Chemicals,
AMWD,American Woodmark Corporation,United States,Consumer Discretionary,Building Products,
AMWL,American Well Corporation,United States,Technology,Retail: Computer Software & Peripheral Equipment,Amwell (company)
AMZN,Amazon.com,United States,Consumer Discretionary,Catalog/Specialty Distribution,Amazon (company)
AN,AutoNation,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,AutoNation
ANAB,AnaptysBio,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ANDE,Andersons (The),United States,Industrials,Farming/Seeds/Milling,The Andersons
ANEB,Anebulo Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ANET,Arista Networks,United States,Telecommunications,Computer Communications Equipment,Arista Networks
ANF,Abercrombie & Fitch Company,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,Abercrombie %26 Fitch
ANGI,Angi,United States,Consumer Discretionary,Advertising,IAC (company)
ANGO,AngioDynamics,United States,Health Care,Medical/Dental Instruments,
ANIK,Anika Therapeutics,United States,Health Care,Medical/Dental Instruments,
ANIX,Anixa Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ANNX,Annexon,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ANSS,ANSYS,United States,Technology,Computer Software: Prepackaged Software,Ansys
ANTX,AN2 Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ANVS,Annovis Bio,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ANZU,Anzu Special Acquisition Corp I,United States,Finance,Blank Checks,
AOGO,Arogo Capital Acquisition Corp.,United States,Technology,Computer Software: Prepackaged Software,
AOMR,Angel Oak Mortgage REIT,United States,Real Estate,Real Estate Investment Trusts,
AORT,Artivion,United States,Health Care,Medical/Dental Instruments,Artivion
AOS,A.O. Smith Corporation,United States,Consumer Discretionary,Consumer Electronics/Appliances,A. O. Smith
AP,Ampco-Pittsburgh Corporation,United States,Industrials,Fluid Controls,Ampco Pittsburgh
APA,APA Corporation,United States,Energy,Oil & Gas Production,APA Corporation
APAM,Artisan Partners Asset Management,United States,Finance,Investment Managers,
APCX,AppTech Payments Corp.,United States,Finance,Finance: Consumer Services,
APD,Air Products and Chemicals,United States,Industrials,Major Chemicals,Air Products
APDN,Applied DNA Sciences,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
APEI,American Public Education,United States,Consumer Discretionary,Educational Services,
APG,APi Group Corporation,,Consumer Discretionary,Engineering & Construction,
APGE,Apogee Therapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
APGN,Apexigen,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
APH,Amphenol Corporation,United States,Technology,Electrical Products,Amphenol
APLD,Applied Digital Corporation,United States,Finance,Investment Bankers/Brokers/Service,
APLS,Apellis Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
APLT,Applied Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
APMI,AxonPrime Infrastructure Acquisition Corporation,United States,Finance,Blank Checks,
APO,Apollo Global Management (New),,Finance,Investment Managers,
APOG,Apogee Enterprises,United States,Consumer Discretionary,Auto Parts:O.E.M.,
APP,Applovin Corporation,United States,Technology,EDP Services,AppLovin
APPF,AppFolio,United States,Technology,EDP Services,AppFolio
APPH,AppHarvest,United States,Consumer Staples,Farming/Seeds/Milling,Appharvest
APPN,Appian Corporation,United States,Technology,EDP Services,Appian Corporation
APPS,Digital Turbine,United States,Miscellaneous,Multi-Sector Companies,
APRN,Blue Apron Holdings,United States,Consumer Discretionary,Catalog/Specialty Distribution,
APT,Alpha Pro Tech Ltd.,Canada,Health Care,Industrial Specialties,
APVO,Aptevo Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
APYX,Apyx Medical Corporation,United States,Health Care,Medical/Dental Instruments,
AQB,AquaBounty Technologies,United States,Consumer Staples,Meat/Poultry/Fish,AquaBounty Technologies
AQMS,Aqua Metals,United States,Industrials,Metal Fabrications,
AQST,Aquestive Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
AQU,Aquaron Acquisition Corp.,United States,Finance,Blank Checks,
AR,Antero Resources Corporation,,Energy,Oil & Gas Production,Antero Resources
ARAV,Aravive,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ARAY,Accurayorporated,United States,Health Care,Medical/Dental Instruments,
ARBG,Aequi Acquisition Corp.,United States,Finance,Blank Checks,
ARC,ARC Document Solutions,United States,Consumer Discretionary,Professional Services,ARC Document Solutions
ARCB,ArcBest Corporation,United States,Industrials,Trucking Freight/Courier Services,ArcBest
ARCC,Ares Capital Corporation,United States,Finance,Finance: Consumer Services,
ARCH,Arch Resources,United States,Energy,Coal Mining,Arch Resources
ARCT,Arcturus Therapeutics Holdings,Israel,Health Care,Biotechnology: Pharmaceutical Preparations,Arcturus Therapeutics
ARDS,Aridis Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ARDX,Ardelyx,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ARE,Alexandria Real Estate Equities,United States,Real Estate,Real Estate Investment Trusts,Alexandria Real Estate Equities
AREB,American Rebel Holdings,United States,Industrials,Plastic Products,
AREC,American Resources Corporation,United States,Energy,Coal Mining,
AREN,The Arena Group Holdings,,Health Care,Medical/Dental Instruments,
ARES,Ares Management Corporation,United States,Finance,Investment Managers,Ares Management
ARHS,Arhaus,United States,Consumer Discretionary,Other Specialty Stores,Arhaus
ARIS,Aris Water Solutions,United States,Utilities,Water Supply,
ARIZ,Arisz Acquisition Corp.,United States,Finance,Blank Checks,
ARKO,ARKO Corp.,United States,Energy,Oil Refining/Marketing,
ARKR,Ark Restaurants Corp.,United States,Consumer Discretionary,Restaurants,
ARL,American Realty Investors,United States,Consumer Discretionary,Educational Services,
ARLO,Arlo Technologies,United States,Consumer Staples,Consumer Electronics/Appliances,Arlo Technologies
ARMK,Aramark,United States,Consumer Discretionary,Restaurants,Aramark
ARMP,Armata Pharmaceuticals,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
AROC,Archrock,United States,Utilities,Natural Gas Distribution,
AROW,Arrow Financial Corporation,United States,Finance,Major Banks,
ARQT,Arcutis Biotherapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ARRY,Array Technologies,United States,Technology,Semiconductors,
ARTE,Artemis Strategic Investment Corporation,United States,Finance,Blank Checks,
ARTL,Artelo Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ARTNA,Artesian Resources Corporation,United States,Utilities,Water Supply,
ARTW,Art's-Way Manufacturing Co.,United States,Industrials,Industrial Machinery/Components,Art's Way
ARVN,Arvinas,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ARW,Arrow Electronics,United States,Technology,Electronic Components,Arrow Electronics
ARWR,Arrowhead Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Arrowhead Pharmaceuticals
ASAN,Asana,United States,Technology,Retail: Computer Software & Peripheral Equipment,"Asana, Inc."
ASB,Associated Banc-Corp,United States,Finance,Major Banks,Associated Banc-Corp
ASC,Ardmore Shipping Corporation,,Consumer Discretionary,Marine Transportation,
ASGN,ASGNorporated,United States,Technology,EDP Services,
ASH,Ashland,United States,Consumer Discretionary,Specialty Chemicals,Ashland Global
ASLE,AerSale Corporation,United States,Consumer Discretionary,Industrial Specialties,AerSale
ASMB,Assembly Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ASNS,Actelis Networks,United States,Telecommunications,Telecommunications Equipment,
ASO,Academy Sports and Outdoors,United States,Consumer Discretionary,Recreational Games/Products/Toys,Academy Sports %2B Outdoors
ASPA,ABRI SPAC I INC.,United States,Finance,Finance: Consumer Services,
ASPI,ASP Isotopes,United States,Industrials,Major Chemicals,
ASPN,Aspen Aerogels,United States,Consumer Discretionary,RETAIL: Building Materials,
ASPS,Altisource Portfolio Solutions S.A.,Luxembourg,Consumer Discretionary,Other Consumer Services,
ASR,Grupo Aeroportuario del Sureste S.A. de C.V.,Mexico,Consumer Discretionary,Aerospace,Grupo Aeroportuario del Sureste
ASRT,Assertio Holdings,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Assertio Therapeutics
ASRV,AmeriServ Financial,United States,Finance,Major Banks,AmeriServ Financial
ASST,Asset Entities Class B,United States,Technology,Computer Software: Prepackaged Software,
ASTC,Astrotech Corporation (DE),United States,Industrials,Biotechnology: Laboratory Analytical Instruments,
ASTE,Astec Industries,United States,Industrials,Construction/Ag Equipment/Trucks,
ASTI,Ascent Solar Technologies,United States,Technology,Semiconductors,Ascent Solar
ASTR,Astra Space,United States,Consumer Discretionary,Transportation Services,Astra (American spaceflight company)
ASTS,AST SpaceMobile,United States,Consumer Discretionary,Telecommunications Equipment,AST SpaceMobile
ASUR,Asure Software,United States,Technology,EDP Services,Asure Software
ASXC,Asensus Surgical,United States,Health Care,Medical/Dental Instruments,
